NNID,1,2,3,4
NET NAME,AlexNet,Machine Translation,VGG16,MobileNet
ISOLATED,6473174,10717761,77632839,25908806
PRIORITY,2,2,2,2
DISPATCHED,0,259446,1151350,637261
ESTIMATED,1114704,1,14014972,5045956
RUNNED,6473754,7397460,77632292,25908552
WAITED,0,6214309,38628417,13233954
ELAPSED,6473754,13611769,116260709,39142506
SWITCHED,1,1,1,1
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,1.319615174803155,STP,3.116957283329505,FAIRNESS,2.7093045117630145e-09
