NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,Machine Translation,Automatic Speech Recognition,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet,MobileNet,MobileNet,VGG16,Automatic Speech Recognition,GoogLeNet,AlexNet
ISOLATED,11872941,10717761,13464275,13464275,13464275,25908806,25908806,25908806,77632839,13464275,11872941,6473174
PRIORITY,2,2,2,2,2,2,0,2,2,1,0,1
DISPATCHED,0,3141473,5691614,3982688,2707555,2765416,521472,3003428,4482061,4581722,69711,2085593
ESTIMATED,291425,1,1,1,1,1419697,1419697,1419697,3555583,1,291425,307188
RUNNED,813951,4884105,6381207,6381207,6381127,1866806,1866209,1866808,6149844,6381207,814258,1697724
WAITED,0,1,2333965,10424098,17646520,31426755,42282515,33055549,33443724,22153480,44600485,30408854
ELAPSED,813951,4884106,8715172,16805305,24027647,33293561,44148724,34922357,39593568,28534687,45414743,32106578
SWITCHED,1,1,1,1,2,1,2,1,1,1,1,2
SLA,True,True,True,True,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,1.6629550925380878,STP,24.690290226512822,FAIRNESS,5.013637483812726e-11
