NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,GoogLeNet,Automatic Speech Recognition,VGG16,AlexNet,AlexNet,AlexNet,MobileNet
ISOLATED,11872941,11872941,13464275,77632839,6473174,6473174,6473174,25908806
PRIORITY,1,1,0,1,1,0,1,2
DISPATCHED,0,3863270,117850,382490,1335442,293281,964104,1278099
ESTIMATED,291425,291425,1,3555583,307188,307188,307188,1419697
RUNNED,813542,813745,6422119,6151152,1697518,1697518,1697518,1866806
WAITED,142510,8363267,12922432,431053,9193577,19169120,6000591,7384114
ELAPSED,956052,9177012,19344551,6582205,10891095,20866638,7698109,9250920
SWITCHED,2,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.103414866589095,STP,30.74898734223029,FAIRNESS,0.00034632436208281687
