NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,Sentiment Analysis,VGG16,GoogLeNet,GoogLeNet,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet
ISOLATED,25908806,4489906,77632839,11872941,11872941,13464275,13464275,25908806
PRIORITY,1,1,2,2,0,2,2,1
DISPATCHED,0,1673444,1196132,1493500,3318276,1092522,556563,695724
ESTIMATED,1419697,1,3555583,291425,291425,1,1,1419697
RUNNED,1866638,4801848,6150358,814259,814131,13727573,13727241,1866806
WAITED,33885052,1,36422365,31319726,30309209,4801849,18529422,35055967
ELAPSED,35751690,4801849,42572723,32133985,31123340,18529422,32256663,36922773
SWITCHED,2,1,1,1,1,2,2,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.6903302969719347,STP,6.079978164951743,FAIRNESS,0.10761655888271836
