NNID,1,2,3,4
NET NAME,AlexNet,VGG16,MobileNet,VGG16
ISOLATED,6473174,77632839,25908806,77632839
PRIORITY,1,0,2,0
DISPATCHED,0,198791,112522,188522
ESTIMATED,307188,3555583,1419697,3555583
RUNNED,1697722,6150358,1866808,6149844
WAITED,0,3365740,1585201,9526367
ELAPSED,1697722,9516098,3452009,15676211
SWITCHED,1,1,1,1
SLA,True,True,True,True
SJF,DYNAMIC
ANTT,0.18000328556297074,STP,24.428611292599413,FAIRNESS,0.10222247876207324
