NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,Sentiment Analysis,AlexNet,AlexNet,GoogLeNet,Machine Translation,MobileNet,Sentiment Analysis,GoogLeNet,Automatic Speech Recognition,VGG16,GoogLeNet
ISOLATED,6473174,4489906,6473174,6473174,11872941,10717761,25908806,4489906,11872941,13464275,77632839,11872941
PRIORITY,0,0,2,1,0,0,0,0,1,1,1,2
DISPATCHED,0,1212722,195677,1173729,1232995,5750570,1595994,2032170,1977917,88997,5227900,1615385
ESTIMATED,307188,1,307188,307188,291425,1,1419697,1,291425,1,3555583,291425
RUNNED,1697251,5466528,1698011,1697389,813746,12173362,1866808,5466528,814260,16304527,6149845,814259
WAITED,27478291,27962821,1,1534219,33409076,29705247,46033185,47463817,2427420,5023920,16189544,278304
ELAPSED,29175542,33429349,1698012,3231608,34222822,41878609,47899993,52930345,3241680,21328447,22339389,1092563
SWITCHED,2,1,1,1,1,1,1,1,1,2,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,2.9481985210094663,STP,26.036124678593183,FAIRNESS,0.06948092805292946
