NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,VGG16,Sentiment Analysis,Sentiment Analysis,GoogLeNet,MobileNet,Automatic Speech Recognition,AlexNet
ISOLATED,4489906,77632839,4489906,4489906,11872941,25908806,13464275,6473174
PRIORITY,2,1,1,1,0,2,1,2
DISPATCHED,0,3885899,2426197,2260049,2778217,1398967,3365420,2081672
ESTIMATED,1,3555583,1,1,291425,1419697,1,307188
RUNNED,4691078,6150358,4690872,4690872,814258,1866807,13686326,1697005
WAITED,0,27437062,10519566,5994842,34695102,3292112,14271215,4476214
ELAPSED,4691078,33587420,15210438,10685714,35509360,5158919,27957541,6173219
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.6831340295534705,STP,10.870533227655454,FAIRNESS,4.795488896954406e-10
