NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,GoogLeNet,GoogLeNet,GoogLeNet,AlexNet,GoogLeNet,GoogLeNet,MobileNet
ISOLATED,25908806,11872941,11872941,11872941,6473174,11872941,11872941,25908806
PRIORITY,1,1,1,2,1,1,2,2
DISPATCHED,0,1283749,3410416,672838,1382591,2150602,3583584,3328351
ESTIMATED,1419697,291425,291425,291425,307188,291425,291425,1419697
RUNNED,1866527,814131,813745,814744,1697390,813746,814131,1866680
WAITED,27162,1397523,4462803,1193690,2112812,3042191,5103380,2678188
ELAPSED,1893689,2211654,5276548,2008434,3810202,3855937,5917511,4544868
SWITCHED,2,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,0.30751849398277964,STP,39.696806940252145,FAIRNESS,0.0010538055805526861
