NNID,1,2,3,4
NET NAME,MobileNet,Machine Translation,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,25908806,10717761,4489906,13464275
PRIORITY,0,2,2,1
DISPATCHED,0,1388395,1401344,316931
ESTIMATED,5045956,1,1,1
RUNNED,25908450,8906182,4044493,12051202
WAITED,25001877,1,8893234,12950676
ELAPSED,50910327,8906183,12937727,25001878
SWITCHED,1,1,1,1
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,1.8835936733105996,STP,2.5978877286395456,FAIRNESS,3.390435793411986e-10
