NNID,1,2,3,4,5,6,7,8
NET NAME,Automatic Speech Recognition,VGG16,AlexNet,Automatic Speech Recognition,VGG16,Machine Translation,Sentiment Analysis,AlexNet
ISOLATED,13464275,77632839,6473174,13464275,77632839,10717761,4489906,6473174
PRIORITY,0,1,2,0,2,2,0,2
DISPATCHED,0,2265846,2696808,1336231,2002456,476126,2878859,3340609
ESTIMATED,1,3555583,307188,1,3555583,1,1,307188
RUNNED,6381793,6150698,1697372,6382184,6151673,4882168,2251934,1694838
WAITED,27096280,26904739,11725001,27580296,27438532,23197545,14096142,12234392
ELAPSED,33478073,33055437,13422373,33962480,33590205,28079713,16348076,13929230
SWITCHED,8,1,11,38,1,30,13,10
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,2.0442122037816306,STP,7.061688341700285,FAIRNESS,0.05417358588289633
