NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,VGG16,MobileNet,AlexNet,AlexNet,GoogLeNet,VGG16,MobileNet
ISOLATED,77632839,77632839,25908806,6473174,6473174,11872941,77632839,25908806
PRIORITY,1,0,0,0,2,2,2,2
DISPATCHED,0,2653272,3520293,615828,2511695,3403770,356552,1756564
ESTIMATED,3555583,3555583,1419697,307188,307188,291425,3555583,1419697
RUNNED,6149712,6150358,1866806,1697518,1697360,814447,6150540,1866803
WAITED,4547058,14025591,19308928,24080199,814448,1,10171771,2511808
ELAPSED,10696770,20175949,21175734,25777717,2511808,814448,16322311,4378611
SWITCHED,3,1,1,1,2,1,2,2
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,0.7541391324918898,STP,40.40838306714449,FAIRNESS,0.0009900296854352263
