NNID,1,2,3,4
NET NAME,Machine Translation,Automatic Speech Recognition,AlexNet,Automatic Speech Recognition
ISOLATED,10717761,13464275,6473174,13464275
PRIORITY,1,1,1,1
DISPATCHED,0,101378,783872,1328028
ESTIMATED,1,1,1114704,1
RUNNED,9408364,12297898,6473548,12297635
WAITED,73622,9306987,20922391,26851783
ELAPSED,9481986,21604885,27395939,39149418
SWITCHED,2,2,1,1
SLA,True,True,False,True
"algo_str, mecha_str"
ANTT,2.407296121595351,STP,2.3337362609700625,FAIRNESS,1.2851286653609657e-06
