NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,AlexNet,Sentiment Analysis,Automatic Speech Recognition,Sentiment Analysis,AlexNet,Automatic Speech Recognition,GoogLeNet,Sentiment Analysis,GoogLeNet,GoogLeNet,AlexNet,Automatic Speech Recognition,MobileNet,MobileNet,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,6473174,4489906,13464275,4489906,6473174,13464275,11872941,4489906,11872941,11872941,6473174,13464275,25908806,25908806,4489906,13464275
PRIORITY,0,2,1,1,2,0,2,0,0,1,2,2,0,1,2,1
DISPATCHED,0,3424572,2444871,4901739,615576,6062816,5267671,5553939,5594710,5797619,6332241,590953,305353,4571107,5793990,5984981
ESTIMATED,307188,1,1,1,307188,1,291425,1,291425,291425,307188,1,1419697,1419697,1,1
RUNNED,1697494,3804830,10862646,3804409,1697389,10862775,814259,3804409,813745,814131,1697518,10862710,1866680,1866807,3804408,10862775
WAITED,50891882,1,3804831,12210609,45605546,46526561,39325061,57898213,61661851,39609372,41586270,18471886,67764953,45044922,24131559,27744976
ELAPSED,52589376,3804831,14667477,16015018,47302935,57389336,40139320,61702622,62475596,40423503,43283788,29334596,69631633,46911729,27935967,38607751
SWITCHED,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,4.590039104589389,STP,5.767620694268223,FAIRNESS,2.996867862796091e-11
