NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,GoogLeNet,Sentiment Analysis,Automatic Speech Recognition,Machine Translation,Sentiment Analysis,GoogLeNet,GoogLeNet,AlexNet,Automatic Speech Recognition,Machine Translation,MobileNet,AlexNet,Machine Translation,Automatic Speech Recognition,AlexNet,VGG16
ISOLATED,11872941,4489906,13464275,10717761,4489906,11872941,11872941,6473174,13464275,10717761,25908806,6473174,10717761,13464275,6473174,77632839
PRIORITY,0,1,2,2,1,2,0,0,1,0,2,2,0,1,0,0
DISPATCHED,0,7292718,7647818,2643753,246265,2113264,5651646,3264032,1509754,118025,5731085,577388,5686870,255773,2924276,7087411
ESTIMATED,291425,1,1,1,1,291425,291425,307188,1,1,1419697,307188,1,1,307188,3555583
RUNNED,806076,5355720,16263831,11922384,5359549,814305,814131,1697389,16263640,11922120,1866680,1697470,11922122,16263639,1697516,6149844
WAITED,75807218,25849341,1,16263832,37920391,28186216,70961649,74163394,42016451,79006790,25382700,30867201,85360065,59534072,100044781,97579162
ELAPSED,76613294,31205061,16263832,28186216,43279940,29000521,71775780,75860783,58280091,90928910,27249380,32564671,97282187,75797711,101742297,103729006
SWITCHED,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,6.108873876334086,STP,4.869191253773886,FAIRNESS,0.029510925149234687
