NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,AlexNet
ISOLATED,13464275,13464275,6473174,6473174
PRIORITY,2,2,2,0
DISPATCHED,0,731388,995436,89540
ESTIMATED,1,1,307188,307188
RUNNED,16509896,16510214,1697684,1697204
WAITED,19440324,19173397,4900001,4868613
ELAPSED,35950220,35683611,6597685,6565817
SWITCHED,82,1,11,12
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,1.838458880474386,STP,2.718867485579903,FAIRNESS,0.042209519119335695
