NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,Automatic Speech Recognition,Machine Translation,VGG16
ISOLATED,13464275,13464275,10717761,77632839
PRIORITY,0,0,1,0
DISPATCHED,0,1980639,1954236,1265370
ESTIMATED,1,1,1,14014972
RUNNED,7854236,7854030,6140610,77632806
WAITED,0,5873598,13754031,20583507
ELAPSED,7854236,13727628,19894641,98216313
SWITCHED,1,1,1,1
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,1.1810670402029553,STP,4.024238226015253,FAIRNESS,0.10475329202883313
