PREEMPTED,0,175000,325781,350000,525000,546332,700000,792849,875000,1050000,1225000,1400000,1575000,1750000,1925000,2100000,2275000,2450000,2625000,2660111,2800000,2975000,3150000,3325000,3500000,3675000,3850000,4025000,4200000,4375000,4550000,4725000,4900000,5034788,5075000,5250000,5425000,5600000,5744268,5775000,5950000,6125000,6300000,6475000,6650000,6825000,7000000,7175000,7350000,7525000,7700000,7875000,8050000
DRAINED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SCHEDULE REASON,DONE,SLICE,NEW,SLICE,SLICE,NEW,SLICE,NEW,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,DONE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,DONE,SLICE,SLICE,SLICE,SLICE,DONE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE,SLICE
NNID,1,1,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Preempted,53,Drained,0
"algo_str, mecha_str"
