NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,AlexNet,Sentiment Analysis,Sentiment Analysis,GoogLeNet,AlexNet,VGG16,VGG16
ISOLATED,11872941,6473174,4489906,4489906,11872941,6473174,77632839,77632839
PRIORITY,2,0,2,1,1,1,0,1
DISPATCHED,0,1227714,3430820,22415,1830757,2820540,962173,466698
ESTIMATED,1055492,1114704,1,1,1055492,1114704,14014972,14014972
RUNNED,11872389,6473546,1929723,1929755,11873898,6473031,77632292,77632806
WAITED,3859478,110483889,1,1,13901111,24785226,117222976,33612099
ELAPSED,15731867,116957435,1929724,1929756,25775009,31258257,194855268,111244905
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,False,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,3.8994181448159413,STP,7.227424658562366,FAIRNESS,3.946455666025651e-05
