NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,GoogLeNet,AlexNet,VGG16,Machine Translation,Machine Translation,VGG16,Sentiment Analysis,MobileNet,AlexNet,AlexNet,AlexNet,Machine Translation,VGG16,Sentiment Analysis,Sentiment Analysis,Sentiment Analysis
ISOLATED,11872941,6473174,77632839,10717761,10717761,77632839,4489906,25908806,6473174,6473174,6473174,10717761,77632839,4489906,4489906,4489906
PRIORITY,2,1,2,0,1,1,0,2,0,0,2,1,1,2,2,0
DISPATCHED,0,5870434,6879681,3007153,3110843,3984279,5095448,7824278,7007377,516848,7054617,5520851,226669,7366802,6759869,5491274
ESTIMATED,291425,307188,3555583,1,1,3555583,1,1419697,307188,307188,307188,1,3555583,1,1,1
RUNNED,813951,1697518,6150357,2873059,2872800,6150356,1366633,1866807,1697516,1696877,1697518,2872799,6150099,1366632,1366632,1366632
WAITED,0,11221907,17172019,1,2769370,26217778,3657565,14360615,11782482,297104,13432758,4598795,35629419,5625643,7599208,10234435
ELAPSED,813951,12919425,23322376,2873060,5642170,32368134,5024198,16227422,13479998,1993981,15130276,7471594,41779518,6992275,8965840,11601067
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,1.088922405887248,STP,37.91218322090919,FAIRNESS,0.01274290803352779
