NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Machine Translation,MobileNet,Automatic Speech Recognition,GoogLeNet,Machine Translation,MobileNet,Automatic Speech Recognition,MobileNet,VGG16,VGG16,VGG16,Sentiment Analysis,Machine Translation,MobileNet,Automatic Speech Recognition,Sentiment Analysis
ISOLATED,10717761,25908806,13464275,11872941,10717761,25908806,13464275,25908806,77632839,77632839,77632839,4489906,10717761,25908806,13464275,4489906
PRIORITY,1,0,1,0,1,1,1,2,2,1,0,0,0,2,0,0
DISPATCHED,0,3933697,7456821,357367,7701838,7354009,1885805,4383482,7294506,2794646,1987,6113321,1030708,2258149,5425768,7961946
ESTIMATED,1,1419697,1,291425,1,1419697,1,1419697,3555583,3555583,3555583,1,1,1419697,1,1
RUNNED,8152082,1866808,10657574,814258,8151571,1866807,10657269,1866806,6150358,6150358,6150230,3693600,8151570,1866807,10657574,3693600
WAITED,39195,51585936,29253667,57029074,39666224,27489672,6266278,22443035,21398817,17881513,58198712,58237608,67013821,16551203,70770331,78891727
ELAPSED,8191277,53452744,39911241,57843332,47817795,29356479,16923547,24309841,27549175,24031871,64348942,61931208,75165391,18418010,81427905,82585327
SWITCHED,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
TOKEN,DYNAMIC
ANTT,4.119083574903289,STP,14.400158071078012,FAIRNESS,1.3412293817179685e-11
