NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,VGG16,Automatic Speech Recognition,Sentiment Analysis,AlexNet,Sentiment Analysis,GoogLeNet,Machine Translation,VGG16,AlexNet,Sentiment Analysis,Machine Translation,AlexNet,VGG16,VGG16,VGG16,Sentiment Analysis
ISOLATED,77632839,13464275,4489906,6473174,4489906,11872941,10717761,77632839,6473174,4489906,10717761,6473174,77632839,77632839,77632839,4489906
PRIORITY,0,1,1,2,2,0,2,0,2,2,0,2,1,1,2,2
DISPATCHED,0,5110113,3468648,5648111,4188684,5225482,5789387,7724396,7565287,6854418,1601384,7312325,933616,7168771,7284174,6233930
ESTIMATED,14014972,1,1,1114704,1,1055492,1,14014972,1114704,1,1,1114704,14014972,14014972,14014972,1
RUNNED,77632246,10679634,3710528,6473549,3710529,11873388,8151569,77633828,6473036,3710529,8151570,6473546,77632542,77632293,77632804,3710529
WAITED,285991088,80877103,75097511,91018739,78088003,358397853,97351012,367772327,272886382,108148079,451529167,266665798,1,111544255,189061145,105058038
ELAPSED,363623334,91556737,78808039,97492288,81798532,370271241,105502581,445406155,279359418,111858608,459680737,273139344,77632543,189176548,266693949,108768567
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False
TOKEN,DYNAMIC
ANTT,18.333432618368303,STP,2.6998410066238634,FAIRNESS,2.4699285556368604e-13
