NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,VGG16,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet
ISOLATED,10717761,4489906,13464275,11872941,77632839,13464275,4489906,11872941
PRIORITY,0,2,0,1,1,0,1,0
DISPATCHED,0,345846,3307403,862832,747784,1984539,3530069,3052774
ESTIMATED,1,1,1,1055492,14014972,1,1,1055492
RUNNED,11419463,5157825,15123240,11872872,77633317,15123240,5157703,11873387
WAITED,99821717,1,107933778,4640840,16628760,124379882,91479792,138434887
ELAPSED,111241180,5157826,123057018,16513712,94262077,139503122,96637495,150308274
SWITCHED,2,1,1,1,1,1,1,1
SLA,False,True,False,True,True,False,False,False
"algo_str, mecha_str"
ANTT,8.477061549328162,STP,2.8407931989132638,FAIRNESS,0.056413509930050544
