NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,GoogLeNet,Machine Translation,AlexNet,MobileNet,AlexNet,Automatic Speech Recognition,AlexNet,VGG16,GoogLeNet,Sentiment Analysis,Automatic Speech Recognition,GoogLeNet,MobileNet
ISOLATED,4489906,13464275,11872941,11872941,10717761,6473174,25908806,6473174,13464275,6473174,77632839,11872941,4489906,13464275,11872941,25908806
PRIORITY,2,1,2,1,2,0,1,1,0,1,2,0,0,1,1,2
DISPATCHED,0,1793284,6303495,5928131,2113182,6726185,4887256,3476597,7025366,4039192,3747571,966769,6843339,679437,1785,1820968
ESTIMATED,1,1,291425,291425,1,307188,1419697,307188,1,307188,3555583,291425,1,1,291425,1419697
RUNNED,5245118,15139143,814131,813746,11670749,1697389,1866806,1697519,15139143,1697004,6149844,813746,5244785,15139015,813746,1866808
WAITED,0,19404596,55796004,55357622,36090649,56187445,54531691,46397983,57585653,53682751,47824528,78783393,73720569,5379428,5243334,34516055
ELAPSED,5245118,34543739,56610135,56171368,47761398,57884834,56398497,48095502,72724796,55379755,53974372,79597139,78965354,20518443,6057080,36382863
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
TOKEN,DYNAMIC
ANTT,4.91373245623252,STP,7.871973362416021,FAIRNESS,4.692968496610126e-11
