NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,VGG16,Automatic Speech Recognition,AlexNet,GoogLeNet,Sentiment Analysis,Sentiment Analysis,Sentiment Analysis
ISOLATED,77632839,77632839,13464275,6473174,11872941,4489906,4489906,4489906
PRIORITY,1,0,1,0,2,1,0,0
DISPATCHED,0,2376540,3749443,489473,3045608,181343,3205638,3081251
ESTIMATED,14014972,14014972,1,1114704,1055492,1,1,1
RUNNED,77634082,77632804,14877280,6473548,11873388,4934732,4935061,4935060
WAITED,31685400,106942943,1,186462814,16947748,14877281,190220197,195279645
ELAPSED,109319482,184575747,14877281,192936362,28821136,19812013,195155258,200214705
SWITCHED,2,1,1,1,1,2,1,1
SLA,True,True,True,False,True,True,False,False
"algo_str, mecha_str"
ANTT,16.199215661794916,STP,2.7533316235905887,FAIRNESS,3.367257548179573e-11
