NNID,1,2,3,4
NET NAME,GoogLeNet,Machine Translation,MobileNet,MobileNet
ISOLATED,11872941,10717761,25908806,25908806
PRIORITY,2,1,1,2
DISPATCHED,0,795747,1801843,688988
ESTIMATED,291425,1,1419697,1419697
RUNNED,814341,9659912,1866681,1866808
WAITED,9659912,1,8672411,11651947
ELAPSED,10474253,9659913,10539092,13518755
SWITCHED,2,1,1,1
SLA,True,True,True,True
PREMA,DYNAMIC
ANTT,0.678013386837359,STP,6.617905941145835,FAIRNESS,0.027713647407021914
