NNID,1,2,3,4
NET NAME,GoogLeNet,VGG16,MobileNet,Sentiment Analysis
ISOLATED,11872941,77632839,25908806,4489906
PRIORITY,2,2,2,0
DISPATCHED,0,1140475,1919682,404007
ESTIMATED,291425,3555583,1419697,1
RUNNED,813951,6149975,1866806,1809608
WAITED,0,1,5370769,8426726
ELAPSED,813951,6149976,7237575,10236334
SWITCHED,1,1,1,2
SLA,True,True,True,True
HPF,DYNAMIC
ANTT,0.6767442003393644,STP,31.228463596245888,FAIRNESS,0.24541114026418454
