NNID,1,2,3,4
NET NAME,VGG16,Machine Translation,Machine Translation,VGG16
ISOLATED,77632839,10717761,10717761,77632839
PRIORITY,1,1,2,1
DISPATCHED,0,1545015,1334972,376108
ESTIMATED,3555583,1,1,3555583
RUNNED,6149990,7397460,7397520,6149844
WAITED,7397520,12002496,1,20568863
ELAPSED,13547510,19399956,7397521,26718707
SWITCHED,2,1,1,1
SLA,True,True,True,True
HPF,DYNAMIC
ANTT,0.7547404786990395,STP,10.637269677941296,FAIRNESS,0.08427730098631875
