NNID,1,2,3,4
NET NAME,Machine Translation,Machine Translation,MobileNet,AlexNet
ISOLATED,10717761,10717761,25908806,6473174
PRIORITY,1,2,2,2
DISPATCHED,0,1255823,615851,1716210
ESTIMATED,1,1,1419697,307188
RUNNED,5386725,5386501,1866807,1697498
WAITED,1697498,5828401,11854874,1
ELAPSED,7084223,11214902,13721681,1697499
SWITCHED,2,1,1,1
SLA,True,True,True,True
SJF,DYNAMIC
ANTT,0.624803764278533,STP,8.170102174941947,FAIRNESS,0.2105598128870557
