NNID,1,2,3,4
NET NAME,VGG16,Machine Translation,AlexNet,VGG16
ISOLATED,77632839,10717761,6473174,77632839
PRIORITY,2,2,2,0
DISPATCHED,0,1499790,1454968,1054694
ESTIMATED,3555583,1,307188,3555583
RUNNED,6150458,9659790,1697110,6149844
WAITED,11356900,1652289,1,16452665
ELAPSED,17507358,11312079,1697111,22602509
SWITCHED,2,1,1,1
SLA,True,True,True,True
PREMA,DYNAMIC
ANTT,0.45857220037274044,STP,12.630690863957144,FAIRNESS,0.007555593250586255
