NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Automatic Speech Recognition,Automatic Speech Recognition,AlexNet,Sentiment Analysis,Machine Translation,GoogLeNet,Automatic Speech Recognition
ISOLATED,77632839,13464275,13464275,6473174,4489906,10717761,11872941,13464275
PRIORITY,1,0,1,2,1,2,2,2
DISPATCHED,0,3991604,2063441,2475801,3408485,1132603,2631103,1900763
ESTIMATED,3555583,1,1,307188,1,1,291425,1
RUNNED,6150257,3844934,3844986,1697389,1699057,3627165,814259,3844935
WAITED,15527791,17686445,1,12487205,2499943,5544044,11517644,8403049
ELAPSED,21678048,21531379,3844987,14184594,4199000,9171209,12331903,12247984
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.01180969976758,STP,12.464630914013012,FAIRNESS,1.1082028709933001e-09
