NNID,1,2,3,4,5,6,7,8
NET NAME,VGG16,Machine Translation,Sentiment Analysis,MobileNet,Automatic Speech Recognition,GoogLeNet,Sentiment Analysis,Machine Translation
ISOLATED,77632839,10717761,4489906,25908806,13464275,11872941,4489906,10717761
PRIORITY,1,0,2,0,2,1,1,1
DISPATCHED,0,3641216,1363675,1751581,2675360,2491265,2564740,3111924
ESTIMATED,14014972,1,1,5045956,1,1055492,1,1
RUNNED,77498512,12170108,5492207,26040358,16330872,11839797,5522224,12173816
WAITED,89569382,69825001,34701942,89207155,79262717,70197185,37975001,71613077
ELAPSED,167067894,81995109,40194149,115247513,95593589,82036982,43497225,83786893
SWITCHED,155,71,33,150,94,70,33,70
SLA,True,True,False,True,True,True,False,True
"algo_str, mecha_str"
ANTT,6.839682372154488,STP,1.4486217197936608,FAIRNESS,0.055209786075705355
