NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,VGG16,GoogLeNet,VGG16,Automatic Speech Recognition,MobileNet,VGG16,VGG16,Sentiment Analysis,VGG16,AlexNet,VGG16,Machine Translation
ISOLATED,77632839,11872941,77632839,13464275,25908806,77632839,77632839,4489906,77632839,6473174,77632839,10717761
PRIORITY,1,0,0,1,0,1,1,0,2,2,0,1
DISPATCHED,0,2319316,1342502,5250072,1640028,479276,5556347,1781101,3985447,3938264,5757033,4428713
ESTIMATED,3555583,291425,3555583,1,1419697,3555583,3555583,1,3555583,307188,3555583,1
RUNNED,6149810,813746,6150358,12028487,1866805,6149844,6150358,4026090,6149844,1696877,6150356,8905679
WAITED,29337684,24422042,34144993,1,27470880,41158577,42231350,12028488,49952608,23616840,54330866,13406966
ELAPSED,35487494,25235788,40295351,12028488,29337685,47308421,48381708,16054578,56102452,25313717,60481222,22312645
SWITCHED,2,1,1,1,2,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,1.4524829185221704,STP,13.515843794657549,FAIRNESS,0.01474783689505838
