NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Automatic Speech Recognition,Sentiment Analysis,MobileNet,Machine Translation,GoogLeNet,Machine Translation,Machine Translation
ISOLATED,6473174,13464275,4489906,25908806,10717761,11872941,10717761,10717761
PRIORITY,1,0,0,1,2,0,1,0
DISPATCHED,0,3349944,1976831,3998378,3459824,3898909,3049359,2351485
ESTIMATED,1114704,1,1,5045956,1,1055492,1,1
RUNNED,6472764,9266984,3265571,25908552,7146089,11873385,7146090,7146091
WAITED,45844210,1,9266985,48318597,11049563,32048748,18606117,26450081
ELAPSED,52316974,9266985,12532556,74227149,18195652,43922133,25752207,33596172
SWITCHED,1,1,1,1,1,1,1,1
SLA,False,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,3.170130190443624,STP,3.8785182984966835,FAIRNESS,0.028386307078113168
