NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,VGG16,Automatic Speech Recognition,Machine Translation,Sentiment Analysis,GoogLeNet,Automatic Speech Recognition,GoogLeNet,MobileNet,MobileNet,AlexNet,Automatic Speech Recognition,VGG16,Sentiment Analysis,MobileNet,MobileNet,MobileNet
ISOLATED,77632839,13464275,10717761,4489906,11872941,13464275,11872941,25908806,25908806,6473174,13464275,77632839,4489906,25908806,25908806,25908806
PRIORITY,1,0,2,0,2,2,0,1,1,2,2,2,2,2,1,2
DISPATCHED,0,7215255,2017287,2283781,4354192,7278705,2199118,5231860,173016,4669595,7888352,4098326,2537825,5242940,6904266,226319
ESTIMATED,3555583,1,1,1,291425,1,291425,1419697,1419697,307188,1,3555583,1,1419697,1419697,1419697
RUNNED,6150491,5010767,4129685,1920377,814258,5010470,813618,1866807,1866843,1696876,5010471,6149844,1920673,1866808,1866807,1866807
WAITED,35661267,1,1,8873959,20665539,5799412,23634871,23112623,28194003,21978012,10200235,37713433,20561233,24990922,25196404,33741158
ELAPSED,41811758,5010768,4129686,10794336,21479797,10809882,24448489,24979430,30060846,23674888,15210706,43863277,22481906,26857730,27063211,35607965
SWITCHED,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,1.5194120680167749,STP,17.515877906086654,FAIRNESS,0.008258153167848151
