NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,MobileNet,AlexNet,AlexNet,GoogLeNet,GoogLeNet,MobileNet,Machine Translation,GoogLeNet,Sentiment Analysis,Machine Translation,AlexNet,Automatic Speech Recognition,Machine Translation,GoogLeNet,MobileNet,MobileNet
ISOLATED,25908806,6473174,6473174,11872941,11872941,25908806,10717761,11872941,4489906,10717761,6473174,13464275,10717761,11872941,25908806,25908806
PRIORITY,2,0,1,1,0,1,0,0,2,0,0,1,0,2,0,0
DISPATCHED,0,6166436,5437703,3945804,1811006,5872892,6890323,1449362,7071746,5147348,5911684,2648040,2467610,3815288,4062325,1774382
ESTIMATED,1419697,307188,307188,291425,291425,1419697,1,291425,1,1,307188,1,1,291425,1419697,1419697
RUNNED,1867013,1697518,1697655,813314,813984,1866680,3375414,814259,1588414,3375412,1697004,3804067,3375540,814358,1866808,1866806
WAITED,0,7066093,1588415,3969912,12338014,2856138,8072681,16889056,1,14005329,16616405,6780422,21757483,1,23538308,27693059
ELAPSED,1867013,8763611,3286070,4783226,13151998,4722818,11448095,17703315,1588415,17380741,18313409,10584489,25133023,814359,25405116,29559865
SWITCHED,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,1.0194610829654926,STP,49.03445781341394,FAIRNESS,0.17175359065375215
