NNID,1,2,3,4
NET NAME,AlexNet,Automatic Speech Recognition,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,6473174,13464275,4489906,13464275
PRIORITY,0,0,0,1
DISPATCHED,0,1464705,1431737,906528
ESTIMATED,307188,1,1,1
RUNNED,1698111,3556557,1367218,3557779
WAITED,2036735,5158404,3260296,5314706
ELAPSED,3734846,8714961,4627514,8872485
SWITCHED,7,20,9,21
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,0.7284629143876298,STP,5.765939189756254,FAIRNESS,0.29185817521546725
