NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,GoogLeNet,AlexNet,Automatic Speech Recognition,AlexNet,AlexNet,MobileNet,VGG16,Machine Translation,Sentiment Analysis,GoogLeNet,GoogLeNet,Sentiment Analysis,Sentiment Analysis,Sentiment Analysis,Automatic Speech Recognition,VGG16
ISOLATED,11872941,6473174,13464275,6473174,6473174,25908806,77632839,10717761,4489906,11872941,11872941,4489906,4489906,4489906,13464275,77632839
PRIORITY,1,2,0,0,1,0,1,0,2,1,0,2,2,0,2,0
DISPATCHED,0,1215689,882955,7973893,7132214,3080438,2638,2322259,6541003,323488,1107824,5035730,5656184,3860973,1575530,7272169
ESTIMATED,291425,307188,1,307188,307188,1419697,3555583,1,1,291425,291425,1,1,1,1,3555583
RUNNED,814470,1697389,15139144,1697518,1697518,1866806,6150350,11670750,5245379,814033,814259,5244529,5244912,5244785,15139158,6149844
WAITED,172362,31459155,41164784,49212990,27240019,55803963,35894751,58428948,1,31537323,71314133,5245380,9869455,69375243,15734821,71208832
ELAPSED,986832,33156544,56303928,50910508,28937537,57670769,42045101,70099698,5245380,32351356,72128392,10489909,15114367,74620028,30873979,77358676
SWITCHED,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
PREMA,DYNAMIC
ANTT,4.1631218810695705,STP,18.87762800133513,FAIRNESS,3.563975848573249e-11
