NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,VGG16,MobileNet,Automatic Speech Recognition,Sentiment Analysis,GoogLeNet,MobileNet,MobileNet
ISOLATED,11872941,77632839,25908806,13464275,4489906,11872941,25908806,25908806
PRIORITY,1,0,2,1,2,0,1,1
DISPATCHED,0,2057013,3581847,3268812,24425,907243,1050648,1978704
ESTIMATED,291425,3555583,1419697,1,1,291425,1419697,1419697
RUNNED,813951,6149843,1866808,13481127,4579938,813745,1866680,1866807
WAITED,0,7884109,25990245,12822153,789527,4486647,5156987,6095611
ELAPSED,813951,14033952,27857053,26303280,5369465,5300392,7023667,7962418
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,0.6873531876445532,STP,31.579413786709832,FAIRNESS,0.016795705146235677
