NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Automatic Speech Recognition,Automatic Speech Recognition,VGG16,VGG16,Automatic Speech Recognition,GoogLeNet,AlexNet
ISOLATED,6473174,13464275,13464275,77632839,77632839,13464275,11872941,6473174
PRIORITY,2,1,2,2,0,0,2,2
DISPATCHED,0,411344,1688101,1782443,2797459,2939203,2639674,3208931
ESTIMATED,307188,1,1,3555583,3555583,1,291425,307188
RUNNED,1697308,14852151,14851863,6150358,6149844,14851863,814259,1697516
WAITED,45370136,1,13575395,46982518,52117860,27176156,42327548,43858514
ELAPSED,47067444,14852152,28427258,53132876,58267704,42028019,43141807,45556030
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,3.2141557094730984,STP,5.0488423899129256,FAIRNESS,0.011469291585327975
