NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Machine Translation,Automatic Speech Recognition,Automatic Speech Recognition,MobileNet,VGG16,Machine Translation,VGG16,Sentiment Analysis,Sentiment Analysis,Machine Translation,AlexNet,Sentiment Analysis,GoogLeNet,Machine Translation,Automatic Speech Recognition,AlexNet
ISOLATED,10717761,13464275,13464275,25908806,77632839,10717761,77632839,4489906,4489906,10717761,6473174,4489906,11872941,10717761,13464275,6473174
PRIORITY,2,2,2,1,0,0,1,2,1,1,2,2,2,2,0,2
DISPATCHED,0,6583114,730222,5617188,2527482,4183711,6616304,2564567,5444495,2405624,6295016,4136967,1402763,5010830,5462613,6932983
ESTIMATED,1,1,1,1419697,3555583,1,3555583,1,1,1,307188,1,291425,1,1,307188
RUNNED,6140816,7834444,7833602,1866806,6150358,6140610,6150358,2807136,2807136,6140610,1697518,2807136,814258,6140482,7834022,1697518
WAITED,0,1,13245039,32155723,52210339,56704468,33023413,19244296,40345580,46191587,18320983,22176550,27717890,24924081,61566176,29142410
ELAPSED,6140816,7834445,21078641,34022529,58360697,62845078,39173771,22051432,43152716,52332197,20018501,24983686,28532148,31064563,69400198,30839928
SWITCHED,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HPF,DYNAMIC
ANTT,3.4022374388118815,STP,10.527316077933436,FAIRNESS,0.015011124535756593
