NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Automatic Speech Recognition,Automatic Speech Recognition,GoogLeNet,AlexNet,MobileNet,Sentiment Analysis,Sentiment Analysis
ISOLATED,6473174,13464275,13464275,11872941,6473174,25908806,4489906,4489906
PRIORITY,2,2,0,1,2,2,0,2
DISPATCHED,0,1601449,1139521,1933743,1733976,3697158,1842186,2187761
ESTIMATED,307188,1,1,291425,307188,1419697,1,1
RUNNED,1697723,15098103,15098103,814258,1697005,1866807,5134104,5133976
WAITED,0,15194378,558203,36791296,30159954,40976115,31748749,37351536
ELAPSED,1697723,30292481,15656306,37605554,31856959,42842922,36882853,42485512
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,False,False
"algo_str, mecha_str"
ANTT,3.8867875265963248,STP,6.468395370961537,FAIRNESS,0.013654009812945274
