NNID,1,2,3,4
NET NAME,GoogLeNet,Sentiment Analysis,Sentiment Analysis,Machine Translation
ISOLATED,11872941,4489906,4489906,10717761
PRIORITY,0,0,0,2
DISPATCHED,0,0,0,0
ESTIMATED,291425,1,1,1
RUNNED,814259,3915089,3915216,8654516
WAITED,8654516,9468775,13383864,0
ELAPSED,9468775,13383864,17299080,8654516
SWITCHED,1,1,1,1
SLA,True,True,True,True
"algo_str, mecha_str"
ANTT,2.109690649796652,STP,3.0873231396626535,FAIRNESS,0.10973729755713782
