NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,MobileNet,Automatic Speech Recognition,Sentiment Analysis,AlexNet,Sentiment Analysis,AlexNet,Machine Translation,MobileNet,Automatic Speech Recognition,Sentiment Analysis,Machine Translation,GoogLeNet,Automatic Speech Recognition,GoogLeNet,AlexNet,Automatic Speech Recognition
ISOLATED,25908806,13464275,4489906,6473174,4489906,6473174,10717761,25908806,13464275,4489906,10717761,11872941,13464275,11872941,6473174,13464275
PRIORITY,1,2,2,0,2,0,2,0,2,2,0,1,1,2,2,0
DISPATCHED,0,1934344,6627854,2931034,6705013,6361186,5414383,2978751,7264819,107055,1333529,5517796,5948671,620342,3895881,6247373
ESTIMATED,1419697,1,1,307188,1,307188,1,1419697,1,1,1,291425,1,291425,307188,1
RUNNED,1866645,10657960,3693600,1697390,3693600,1697004,8151570,1866807,10657575,3693584,8151569,814259,10657576,814131,1697004,10657575
WAITED,76734397,1,5964451,68819021,9580892,67086259,14565122,75622292,20866256,36854306,39321416,64603869,42857843,70315582,71248568,53216717
ELAPSED,78601042,10657961,9658051,70516411,13274492,68783263,22716692,77489099,31523831,40547890,47472985,65418128,53515419,71129713,72945572,63874292
SWITCHED,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SJF,DYNAMIC
ANTT,5.1782910039120305,STP,5.051268385106467,FAIRNESS,0.029489611394429956
