NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,AlexNet,GoogLeNet,VGG16,MobileNet,MobileNet,VGG16,Machine Translation,Sentiment Analysis,Automatic Speech Recognition,Machine Translation,MobileNet,Automatic Speech Recognition
ISOLATED,6473174,11872941,77632839,25908806,25908806,77632839,10717761,4489906,13464275,10717761,25908806,13464275
PRIORITY,2,1,2,1,0,0,2,1,0,2,0,0
DISPATCHED,0,1754585,2346786,4515214,687777,5034486,2820939,5708879,1236936,688077,627689,3037708
ESTIMATED,1114704,1055492,14014972,5045956,5045956,14014972,1,1,1,1,5045956,1
RUNNED,6473754,11872874,77633316,25908553,25908553,77632804,6140609,2819961,7854030,6140610,25908553,7854029
WAITED,0,10859780,22140453,103745950,136301901,157863745,99299616,128460838,239294099,5785678,247757376,271255910
ELAPSED,6473754,22732654,99773769,129654503,162210454,235496549,105440225,131280799,247148129,11926288,273665929,279109939
SWITCHED,1,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,False,False,True,True,False
TOKEN,DYNAMIC
ANTT,9.028035730403916,STP,4.221400967203368,FAIRNESS,6.875650223074837e-13
