NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,Sentiment Analysis,VGG16,Sentiment Analysis
ISOLATED,13464275,4489906,77632839,4489906
PRIORITY,2,0,1,0
DISPATCHED,0,0,0,0
ESTIMATED,1,1,3555583,1
RUNNED,12315797,4358449,6150356,4358448
WAITED,0,12315797,16674246,22824602
ELAPSED,12315797,16674246,22824602,27183050
SWITCHED,1,1,1,1
SLA,True,True,True,False
"algo_str, mecha_str"
ANTT,2.7441713289669667,STP,4.928976318714695,FAIRNESS,0.10714130740756365
