NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,VGG16,MobileNet,VGG16,Machine Translation,Automatic Speech Recognition,Sentiment Analysis,VGG16
ISOLATED,25908806,77632839,25908806,77632839,10717761,13464275,4489906,77632839
PRIORITY,0,0,1,1,1,0,2,1
DISPATCHED,0,2481630,1833514,3274221,2160490,3551868,3061375,994486
ESTIMATED,5045956,14014972,5045956,14014972,1,1,1,14014972
RUNNED,25908758,77632804,25908552,77632805,9157050,12092436,4155813,77632806
WAITED,0,136125537,101708051,217121563,127289627,294476721,213178596,24914273
ELAPSED,25908758,213758341,127616603,294754368,136446677,306569157,217334409,102547079
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,False,False,False,True
"algo_str, mecha_str"
ANTT,12.212730453611702,STP,2.7297574710371793,FAIRNESS,0.0022954373515531113
