NNID,1,2,3,4,5,6,7,8
NET NAME,MobileNet,Machine Translation,Automatic Speech Recognition,Machine Translation,AlexNet,Sentiment Analysis,Sentiment Analysis,Sentiment Analysis
ISOLATED,25908806,10717761,13464275,10717761,6473174,4489906,4489906,4489906
PRIORITY,1,2,0,2,2,0,2,2
DISPATCHED,0,2495998,2000033,139841,3989562,2098361,2625941,2126402
ESTIMATED,1419697,1,1,1,307188,1,1,1
RUNNED,1867013,6140610,7834023,6140610,1697004,2807136,2807136,2807136
WAITED,0,18959921,6007591,1727173,26414103,13743286,24970588,16522381
ELAPSED,1867013,25100531,13841614,7867783,28111107,16550422,27777724,19329517
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,2.8370986839849985,STP,17.534585767494786,FAIRNESS,0.003882569856630925
