NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,Machine Translation,Automatic Speech Recognition,Sentiment Analysis,Automatic Speech Recognition,AlexNet,GoogLeNet,GoogLeNet,Machine Translation,AlexNet,VGG16,Automatic Speech Recognition,MobileNet,AlexNet,MobileNet,Automatic Speech Recognition,AlexNet
ISOLATED,10717761,13464275,4489906,13464275,6473174,11872941,11872941,10717761,6473174,77632839,13464275,25908806,6473174,25908806,13464275,6473174
PRIORITY,0,0,0,0,2,1,1,2,1,1,1,1,1,2,1,0
DISPATCHED,0,7372187,524514,7415437,5303945,2438806,7927988,3041486,7362222,3021155,534935,655429,7971217,231263,6712976,7575184
ESTIMATED,1,1,1,1,1114704,1055492,1055492,1,1114704,14014972,1,5045956,1114704,5045956,1,1114704
RUNNED,9911059,13464198,4489776,13464200,6473548,11873386,11872875,9911160,6473035,77633830,13464197,25908553,6473545,25908859,13464197,6473546
WAITED,209457185,211996058,232307929,229906782,159627304,63074067,183414041,151978603,177506772,74365104,25605188,38948891,195243687,1,164691821,243211235
ELAPSED,219368244,225460256,236797705,243370982,166100852,74947453,195286916,161889763,183979807,151998934,39069385,64857444,201717232,25908860,178156018,249684781
SWITCHED,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLA,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,False
TOKEN,DYNAMIC
ANTT,18.20651095454874,STP,2.9308684922785933,FAIRNESS,1.9734046504052986e-12
