NNID,1,2,3,4,5,6,7,8
NET NAME,Machine Translation,Automatic Speech Recognition,Automatic Speech Recognition,Automatic Speech Recognition,Machine Translation,Automatic Speech Recognition,Machine Translation,AlexNet
ISOLATED,10717761,13464275,13464275,13464275,10717761,13464275,10717761,6473174
PRIORITY,0,0,2,1,0,1,2,0
DISPATCHED,0,3913084,2842052,1753355,1901882,3131178,137356,1164647
ESTIMATED,1,1,1,1,1,1,1,1114704
RUNNED,4632262,5274666,5274840,5274666,4632390,5274666,4632550,6473034
WAITED,20456722,21175901,1,8291392,28461769,12188235,5274841,33831394
ELAPSED,25088984,26450567,5274841,13566058,33094159,17462901,9907391,40304428
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,2.1550299128819095,STP,6.818548432553484,FAIRNESS,0.23613168637245768
