NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Machine Translation,Sentiment Analysis,GoogLeNet,AlexNet,VGG16,GoogLeNet,MobileNet
ISOLATED,6473174,10717761,4489906,11872941,6473174,77632839,11872941,25908806
PRIORITY,1,1,2,2,1,1,2,0
DISPATCHED,0,382720,2664725,3530640,1038472,2685463,1456837,1943665
ESTIMATED,1114704,1,1,1055492,1114704,14014972,1055492,5045956
RUNNED,6473461,4381020,2041231,11873387,6473548,77632804,11874697,25908554
WAITED,25789315,31880057,1,1175317,35605325,40431882,13914619,118806484
ELAPSED,32262776,36261077,2041232,13048704,42078873,118064686,25789316,144715038
SWITCHED,2,1,1,1,1,1,2,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,3.212496391466856,STP,5.056506022651088,FAIRNESS,0.20930210940388638
