NNID,1,2,3,4,5,6,7,8,9,10,11,12
NET NAME,GoogLeNet,Automatic Speech Recognition,Sentiment Analysis,Sentiment Analysis,GoogLeNet,GoogLeNet,Machine Translation,AlexNet,AlexNet,Machine Translation,Machine Translation,Automatic Speech Recognition
ISOLATED,11872941,13464275,4489906,4489906,11872941,11872941,10717761,6473174,6473174,10717761,10717761,13464275
PRIORITY,2,0,1,2,1,2,1,0,0,0,0,2
DISPATCHED,0,286080,865438,4435149,4583545,4659143,3381029,5957571,2102717,1862617,3147601,1827357
ESTIMATED,291425,1,1,1,291425,291425,1,307188,307188,1,1,1
RUNNED,813951,8080322,3028950,3028752,814259,814131,6643350,1697005,1697004,6643350,6643350,8080264
WAITED,0,22937578,1,14182854,17063210,17801871,8593624,25346409,30898268,32835372,38193738,2067032
ELAPSED,813951,31017900,3028951,17211606,17877469,18616002,15236974,27043414,32595272,39478722,44837088,10147296
SWITCHED,1,2,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True
TOKEN,DYNAMIC
ANTT,2.434115572697888,STP,21.044749473185156,FAIRNESS,3.182407861955934e-11
