NNID,1
NET NAME,VGG16
ISOLATED,77632839
PRIORITY,1
DISPATCHED,0
ESTIMATED,14014972
RUNNED,77632498
WAITED,0
ELAPSED,77632498
SWITCHED,1
SLA,True
PREMA,DYNAMIC
ANTT,0.9999956075289221,STP,1.0000043924903717,FAIRNESS,1.0
